0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
47, 1, 1, 47, 3, 47, 1, 1, 1, 84, 84, 1, 84, 1, 47, 84, 1, 1, 1, 1, 1, 1, 1, 1, 1, 84, 84, 1, 3, 84, 1, 47, 47, 1, 1, 1, 84, 1, 1, 1, 1, 84, 1, 84, 84, 1, 1, 84, 84, 1, 1, 1, 1, 47, 1, 84, 47, 84, 1, 1, 84, 1, 84, 47, 47, 3, 1, 1, 47, 84, 84, 47, 1, 1, 1, 84, 1, 84, 1, 1, 84, 1, 84, 1, 84, 84, 1, 47, 1, 1, 1, 3, 1, 1, 84, 1, 1, 1, 1, 84, 84, 1, 1, 47, 1, 47, 84, 84, 47, 47, 1, 1, 1, 1, 84, 1, 47, 47, 1, 1
21, 2, 2, 57, 99, 57, 2, 21, 2, 121, 38, 21, 20, 2, 57, 20, 21, 121, 121, 2, 2, 2, 2, 2, 21, 38, 38, 2, 76, 20, 21, 57, 57, 121, 2, 2, 41, 121, 2, 2, 121, 121, 121, 121, 121, 121, 21, 38, 41, 21, 2, 2, 2, 57, 21, 38, 21, 20, 2, 2, 38, 2, 38, 21, 21, 99, 121, 121, 57, 38, 38, 21, 2, 2, 2, 41, 21, 38, 2, 21, 38, 2, 20, 2, 121, 20, 2, 57, 2, 21, 21, 99, 21, 2, 121, 2, 2, 2, 2, 121, 20, 121, 121, 21, 2, 21, 38, 38, 21, 57, 2, 21, 121, 2, 99, 2, 57, 57, 21, 121
84, 3, 3, 84, 124, 84, 3, 84, 3, 70, 70, 3, 18, 3, 84, 18, 84, 3, 70, 3, 3, 3, 3, 3, 84, 70, 70, 3, 28, 18, 84, 84, 84, 3, 3, 3, 18, 70, 3, 3, 70, 70, 70, 70, 70, 3, 3, 70, 124, 3, 3, 3, 3, 84, 3, 70, 84, 18, 3, 3, 70, 3, 70, 84, 84, 124, 70, 70, 84, 70, 18, 84, 3, 3, 3, 18, 3, 18, 3, 3, 70, 3, 18, 3, 70, 18, 3, 84, 3, 84, 3, 124, 84, 3, 70, 3, 3, 3, 3, 70, 18, 70, 70, 84, 3, 84, 70, 70, 84, 84, 3, 84, 70, 3, 124, 3, 84, 84, 3, 3
4, 4, 4, 86, 7, 86, 4, 4, 4, 4, 4, 4, 4, 4, 86, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 86, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 86, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 86, 86, 4, 4
5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
6, 6, 6, 91, 93, 91, 6, 6, 6, 6, 6, 6, 6, 6, 91, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 93, 6, 6, 91, 91, 6, 6, 6, 93, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 93, 6, 6, 6, 6, 91, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 93, 6, 6, 91, 6, 6, 6, 6, 6, 6, 93, 6, 6, 6, 6, 6, 6, 6, 6, 6, 93, 6, 91, 6, 6, 6, 93, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 91, 6, 6, 6, 6, 93, 6, 91, 91, 6, 6
7, 7, 7, 4, 79, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 79, 7, 7, 7, 7, 7, 7, 7, 79, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 79, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 79, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 79, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 79, 7, 7, 4, 7, 7
119, 8, 8, 119, 92, 119, 8, 8, 8, 92, 92, 8, 92, 8, 119, 92, 8, 8, 8, 8, 8, 8, 8, 8, 8, 92, 92, 8, 92, 92, 8, 119, 119, 8, 8, 8, 92, 8, 8, 8, 8, 8, 8, 92, 8, 8, 8, 92, 92, 8, 8, 8, 8, 119, 8, 92, 8, 92, 8, 8, 92, 8, 92, 8, 8, 92, 8, 8, 119, 92, 92, 119, 8, 8, 8, 92, 8, 92, 8, 8, 92, 8, 92, 8, 8, 92, 8, 119, 8, 8, 8, 92, 8, 8, 8, 8, 8, 8, 8, 8, 92, 8, 8, 119, 8, 8, 92, 92, 119, 119, 8, 8, 8, 8, 92, 8, 119, 119, 8, 8
24, 9, 9, 122, 74, 122, 9, 24, 9, 35, 35, 24, 43, 9, 122, 43, 24, 35, 35, 9, 9, 9, 9, 9, 24, 35, 43, 9, 74, 43, 24, 24, 24, 9, 9, 9, 43, 35, 9, 9, 35, 35, 35, 35, 35, 9, 24, 35, 43, 24, 9, 9, 9, 24, 24, 35, 24, 43, 9, 9, 35, 9, 35, 24, 24, 74, 35, 35, 24, 35, 43, 24, 9, 24, 9, 43, 24, 43, 9, 24, 35, 9, 43, 9, 35, 43, 9, 122, 9, 24, 24, 43, 24, 9, 35, 9, 9, 9, 9, 35, 43, 35, 35, 24, 9, 24, 35, 35, 24, 24, 9, 24, 35, 9, 43, 9, 122, 122, 24, 9
